Answer,Hint,Date
Trainspotting,"Choose life. Choose a job. Choose a starter home. Choose dental insurance, leisure wear and matching luggage. Choose your future. But why would anyone want to do a thing like that?",1996
Prisoners,Every moment matters,2013
Warrior,Fight for Country,2011
Fargo,A homespun murder story.,1996
Gran Torino,ma,2008
Catch Me If You Can,The true story of a real fake.,2002
Million Dollar Baby,"Beyond his silence, there is a past. Beyond her dreams, there is a feeling. Beyond hope, there is a memory. Beyond their journey, there is a love.",2004
Children of Heaven,A Little Secret...Their Biggest Adventure!,1997
Blade Runner,A Futuristic Vision Perfected [2007 Final Cut],1982
The Gold Rush,"""The Picture I Want to Be Remembered by."" -Charlie Chaplin. (Print Ad- Calgary Daily Herald, ((Calgary, Alta.)) 30 December 1925)",1925
Before Sunrise,Jump on and live a Eurorail journey you will never forget!,1995
12 Years a Slave,The extraordinary true story of Solomon Northup,2013
Klaus,Discover the friendship that launched a legend.,2019
Harry Potter and the Deathly Hallows: Part 2,It All Ends Here,2011
On the Waterfront,The Man Lived by the Jungle Law of the Docks!,1954
Ben-Hur,A Tale of the Christ,1959
Gone Girl,You don't know what you've got 'til it's...,2014
Wild Strawberries,"""We are such stuff as dreams are made on, and our little life is rounded with a sleep."" Shakespeare - The Tempest",1957
The General,"Buster drives ""The General"" to trainload of laughter. (Trade paper ad).",1926
The Third Man,Carol Reed's Classic Thriller,1949
In the Name of the Father,Falsely accused.  Wrongly imprisoned.  He fought for justice to clear his father's name.,1993
The Deer Hunter,One of the most important and powerful films of all time!,1978
Barry Lyndon,At long last Redmond Barry became a gentleman -- and that was his tragedy.,1975
Hacksaw Ridge,Based on the incredible true story.,2016
The Wages of Fear,The complete restored version of the 1953 French classic [reissue],1953
Memories of Murder,"1986 in a small town...for two detectives, everything was new.",2003
Sherlock Jr.,every inch of footage holds such a laugh!,1924
Wild Tales,We can all lose control,2014
Mr. Smith Goes to Washington,"OUR OPERATOR SAYS..""IT'S GOING TO BE A PLEASURE TO RUN ""MR. SMITH GOES TO WASHINGTON"" 5 DAYS STARTING SUNDAY, NOV.7) (print ad - Lubbock Morning Avalanche - Cactus Theatre - Lubbock Texas - November 2, 1938 - all caps)",1939
Mad Max: Fury Road,WHAT A LOVELY DAY (all caps One Sheet),2015
The Seventh Seal,"A film of visual scope, of imaginative concept, of powerful content, written and directed by Ingmar Bergman, twice honored by the Interational Jury at the Cannes Film Festival 1956,1957",1957
Mary and Max,Two unlikely people. Two different worlds come together in a story about a most unusual friendship.,2009
How to Train Your Dragon,One adventure will change two worlds,2010
Room,Love knows no boundaries,2015
"Monsters, Inc.","Monsters, Inc. : We Scare Because We Care",2001
Jaws,Amity Island had everything. Clear skies. Gentle surf. Warm water. People flocked there every summer. It was the perfect feeding ground.,1975
Dead Poets Society,He was their inspiration. He made their lives extraordinary.,1989
Tokyo Story,"As long as life goes on, relationships between parents and children will bring boundless joy and endless grief.",1953
The Passion of Joan of Arc,JOAN of ARC PICTURES Inc. presents,1928
Hotel Rwanda,"When a country descended into madness and the world turned its back, one man had to make a choice",2004
Ford v Ferrari,They took the American dream for a ride.,2019
Rocky,You have a ringside seat for the bloodiest bicentennial in history!,1976
Platoon,The first casualty of war is innocence.,1986
Ratatouille,Dinner is served... Summer 2007,2007
Spotlight,Break the story. Break the silence.,2015
Logan,His time has come,2017
Stand by Me,"For some, it's the last real taste of innocence, and the first real taste of life. But for everyone, it's the time that memories are made of.",1986
Rush,Everyone's driven by something.,2013
Network,"""NETWORK""... the humanoids, the love story, the trials and tribulations, the savior of television, the attempted suicides, the assassination -- it's ALL coming along with a galaxy of stars you know and love!",1976
Into the Wild,Into the heart Into the soul,2007
Before Sunset,What if you had a second chance with the one that got away?,2004
The Wizard of Oz,Mighty Miracle Show Of 1000 Delights !,1939
Pather Panchali,The Saga of an Indian Family,1955
Groundhog Day,What would you do if you were stuck in the same day... over and over? Anything you want and everything your heart desires.,1993
The Best Years of Our Lives,THE SCREEN'S GREATEST LOVE STORY IS THE BEST FILM THIS YEAR FROM HOLLYWOOD!,1946
The Exorcist,The movie you've been waiting for...without the wait.,1973
The Incredibles,Save The Day,2004
To Be or Not to Be,The Picture Everyone Wants To See.,1942
La haine,"So far, so good",1995
The Battle of Algiers,The French Colonel...who was forced even to torture! One of the many women...who stopped at nothing to win! The Algerian Street Boy...who became a rebel hero!,1966
Pirates of the Caribbean: The Curse of the Black Pearl,Prepare to be blown out of the water.,2003
Hachi: A Dog's Tale,"A true story of faith, devotion and undying love.",2009
The Grapes of Wrath,The thousands who have read the book will know why WE WILL NOT SELL ANY CHILDREN TICKETS to see this picture!,1940
My Father and My Son,"Give him a room dad, he has no place to go...",2005
Amores Perros,Love. Betrayal. Death.,2000
Rebecca,"THE MIGHTY NOVEL LEAPS TO TURBULENT LIFE ON THE SCREEN! (Print Ad- Syracuse Herald-American, ((Syracuse, NY)) 24 March 1940)",1940
Cool Hand Luke,"""What we've got here is failure to communicate.""",1967
The Handmaiden,Never did they expect to get into a controversial relationship...,2016
The 400 Blows,From the Vanguard of New Film-Makers Comes an Extraordinary Motion Picture,1959
The Sound of Music,RADIANCE THAT FLOODS THE SCREEN...AND WARMS THE HEART!,1965
It Happened One Night,Two great lovers of the screen in the grandest of romantic comedies !,1934
Persona,A new film by Ingmar Bergman,1966
Life of Brian,A motion picture destined to offend nearly two thirds of the civilized world. And severely annoy the other third.,1979
The Iron Giant,Some secrets are too huge to hide,1999
The Help,Change begins with a whisper.,2011
Dersu Uzala,There is man and beast at nature's mercy. There is awe and love and reverence. And there is the man called...,1975
Aladdin,Wish granted! (DVD re-release),1992
Gandhi,His Triumph Changed The World Forever.,1982
Dances with Wolves,Inside everyone is a frontier waiting to be discovered.,1990
